timestamp, x, y, orientation, signal strength, ping time
1477454521070480.00,1.69594979,0.02213354,0.00872665,-38,0.94
1477454521168170.00,1.71450019,0.02228816,0.00785398,-45,3.51
1477454521267330.00,1.74213421,0.02247467,0.00488692,-35,0.94
1477454521366490.00,1.76077032,0.02256171,0.00471239,-30,0.91
1477454521468720.00,1.78853261,0.02267401,0.00226893,-29,0.95
1477454521567130.00,1.80708361,0.0227048,0.00122173,-31,1.04
1477454521665390.00,1.83527267,0.02274005,0.0010472,-32,0.91
1477454521765080.00,1.86346173,0.02277122,0.00087266,-29,0.92
1477454521866560.00,1.89177871,0.02279348,0.0010472,-27,0.89
1477454521972420.00,1.90124607,0.02280422,0.00139626,-29,0.94
1477454522086210.00,1.92969096,0.02284645,0.0020944,-33,0.93
1477454522173580.00,1.95800781,0.02291978,0.00261799,-35,0.93
1477454522268830.00,1.98641002,0.02297429,0.00139626,-34,0.88
1477454522367080.00,1.99583483,0.02298828,0.00191986,-34,0.95
1477454522466830.00,2.02436495,0.02304635,0.00139626,-33,0.88
1477454522571990.00,2.05280972,0.02308862,0.00174533,-32,0.94
1477454522667240.00,2.07178736,0.02311925,0.0015708,-31,1.24
1477454522770430.00,2.10031748,0.023184,0.00314159,-35,0.85
1477454522872900.00,2.10969949,0.02321429,0.00349066,-37,2.74
1477454522988800.00,2.13831472,0.02332749,0.00383972,-38,0.96
1477454523081350.00,2.1669302,0.02342904,0.00349066,-35,1.73
1477454523166530.00,2.19546008,0.02351867,0.00244346,-36,0.88
1477454523268080.00,2.22390509,0.02354996,-0.00017453,-37,1.96
1477454523369650.00,2.2332871,0.02354833,-0.0005236,-34,0.94
1477454523473190.00,2.26181746,0.02352099,-0.00139626,-62,0.94
1477454523567490.00,2.29047537,0.02348843,-0.00087266,-35,0.98
1477454523666880.00,2.29994297,0.02348017,-0.0010472,-37,0.91
1477454523767450.00,2.32834506,0.02345288,-0.0010472,-33,0.89
1477454523868040.00,2.35713124,0.02343022,-0.00017453,-32,0.86
1477454523970280.00,2.38591719,0.02344104,0.0015708,-34,2.08
1477454524091560.00,2.39551258,0.02345611,0.00122173,-37,0.9
1477454524169130.00,2.42408538,0.02346285,-0.00087266,-45,1.3
1477454524272110.00,2.45257306,0.02342306,-0.00261799,-46,0.88
1477454524371010.00,2.48131633,0.02333613,-0.00296706,-40,3.11
1477454524472290.00,2.50054955,0.02328325,-0.00244346,-42,0.9
1477454524576040.00,2.52912235,0.02321426,-0.00226893,-43,0.96
1477454524672860.00,2.54827046,0.02317577,-0.00174533,-40,1.19
1477454524781970.00,2.57714176,0.02312871,-0.00139626,-40,0.95
1477454524882290.00,2.59628987,0.02310699,-0.0010472,-40,0.92
1477454524981230.00,2.61539531,0.02308616,-0.00139626,-37,0.99
1477454525084560.00,2.64426661,0.0230433,-0.0010472,-45,0.89
1477454525184770.00,2.67326593,0.02303141,-0.00017453,-39,1
1477454525286600.00,2.70213723,0.02302637,-0.00017453,-37,0.94
1477454525385510.00,2.7117753,0.02302469,-0.00034907,-41,0.84
1477454525485860.00,2.74056125,0.0229946,-0.00122173,-37,1.37
1477454525586710.00,2.76956058,0.02294233,-0.00226893,-36,1.11
1477454525686290.00,2.79843187,0.02290199,-0.00122173,-40,5.03
1477454525785600.00,2.80798459,0.02288949,-0.00139626,-38,1.08
1477454525871990.00,2.83677053,0.0228317,-0.0020944,-38,0.95
1477454525987280.00,2.86547136,0.02276081,-0.00383972,-39,0.92
1477454526083840.00,2.89425707,0.02263105,-0.00453786,-45,0.87
1477454526184220.00,2.90398026,0.02258692,-0.00453786,-41,0.94
1477454526286210.00,2.93280864,0.02245442,-0.00418879,-36,1.36
1477454526373490.00,2.96163726,0.02233451,-0.00383972,-38,1.23
1477454526483240.00,2.9714458,0.02229685,-0.00366519,-42,1.09
1477454526592200.00,3.00035954,0.02220189,-0.00279253,-44,0.93
1477454526681680.00,3.02923083,0.02212799,-0.00261799,-50,0.89
1477454526772790.00,3.05818748,0.02205386,-0.00296706,-47,1.11
1477454526879940.00,3.08739996,0.021968,-0.0020944,-43,0.9
1477454526991890.00,3.09725118,0.02194991,-0.00139626,-43,3.87
1477454527075920.00,3.12629294,0.02190607,-0.00226893,-48,0.94
1477454527174810.00,3.15542006,0.02183742,-0.0020944,-42,0.96
1477454527276010.00,3.17503738,0.02179804,-0.00191986,-38,1.31
1477454527374380.00,3.20390868,0.02174349,-0.00226893,-39,1.09
1477454527474960.00,3.22352576,0.02168782,-0.00314159,-38,0.93
1477454527596860.00,3.24284434,0.02163472,-0.0020944,-38,1.62
1477454527689860.00,3.27201414,0.02156512,-0.00314159,-43,0.95
1477454527809090.00,3.30092788,0.0214634,-0.00418879,-40,0.9
1477454527909750.00,3.32041693,0.02137495,-0.00471239,-39,0.99
1477454528010510.00,3.33994865,0.02127429,-0.00610865,-38,1.16
1477454528114220.00,3.3693738,0.02110063,-0.00471239,-36,0.96
1477454528216350.00,3.3988421,0.02100086,-0.00191986,-41,2.63
1477454528316020.00,3.41845918,0.02096919,-0.0010472,-48,1.05
1477454528417740.00,3.44767189,0.02094372,-0.00069813,-47,0.92
1477454528517940.00,3.47692704,0.02093351,0,-41,0.92
1477454528624960.00,3.48660755,0.02093437,0,-38,0.91
1477454528714760.00,3.51569223,0.02088862,-0.00366519,-38,1.09
1477454528810370.00,3.54464865,0.02075887,-0.00575959,-38,1.07
1477454528905660.00,3.57855105,0.02050004,-0.00872665,-47,1.16
1477454529011290.00,3.60302925,0.02030426,-0.00750492,-48,0.91
1477454529108830.00,3.61279488,0.02022928,-0.00767945,-42,0.93
1477454529208870.00,3.64209175,0.02001032,-0.00698132,-44,1.09
1477454529297750.00,3.67117572,0.01981488,-0.00628319,-45,0.96
1477454529396360.00,3.69070745,0.01969901,-0.00558505,-45,0.9
1477454529498670.00,3.71983409,0.01953295,-0.00645772,-55,1.07
1477454529611040.00,3.73936558,0.01939743,-0.00750492,-50,4.67
1477454529697880.00,3.76832128,0.01916577,-0.00855211,-41,1.1
1477454529799070.00,3.78776717,0.01898927,-0.01012291,-41,1.56
1477454529903100.00,3.8169353,0.01868208,-0.01047198,-45,1.06
1477454529999850.00,3.84610367,0.01838172,-0.01047198,-46,0.91
1477454530120590.00,3.85586905,0.01828031,-0.00994838,-39,1.09
1477454530214180.00,3.89476061,0.01791031,-0.00925025,-37,1.33
1477454530313340.00,3.904526,0.01781998,-0.00890118,-37,0.96
1477454530411700.00,3.93395066,0.0175555,-0.00872665,-33,0.9
1477454530511260.00,3.96333265,0.01730161,-0.00855211,-37,1.29
1477454530647520.00,3.98294926,0.01713726,-0.00785398,-35,37.2
1477454530728580.00,4.01216078,0.01690101,-0.00767945,-36,2.32
1477454530827610.00,4.03207588,0.01675509,-0.00698132,-35,2.06
1477454530919740.00,4.06133032,0.01655255,-0.00715585,-37,0.88
1477454531017480.00,4.0904994,0.01632345,-0.00837758,-39,0.94
1477454531124080.00,4.11996698,0.01607573,-0.00820305,-35,0.87
1477454531218770.00,4.1298604,0.01599628,-0.00785398,-34,1.09
1477454531326730.00,4.15902901,0.01574585,-0.01029744,-37,0.87
1477454531420350.00,4.18828249,0.0154175,-0.01239184,-40,0.92
1477454531519030.00,4.21745014,0.0150509,-0.01343904,-42,0.92
1477454531637550.00,4.24175549,0.01468689,-0.01570796,-39,17.2
1477454531721380.00,4.26145554,0.0143757,-0.01623156,-37,0.93
1477454531817300.00,4.29062176,0.01390479,-0.01570796,-36,1.16
1477454531932910.00,4.31514025,0.01353836,-0.0132645,-37,3.43
1477454532058320.00,4.33010817,0.01334848,-0.01186824,-45,1.03
1477454532157420.00,4.35944653,0.01301394,-0.01047198,-45,0.91
1477454532254830.00,4.38857222,0.01270051,-0.01239184,-49,0.87
1477454532334700.00,4.41816616,0.01232605,-0.01186824,-43,3.52
1477454532429200.00,4.42797422,0.01221134,-0.01134464,-39,1.49
1477454532529150.00,4.45245123,0.01193879,-0.01082104,-38,0.95
1477454532643910.00,4.48703527,0.01159033,-0.00890118,-43,11
1477454532731850.00,4.51151323,0.01137929,-0.00802851,-42,0.89
1477454532834600.00,4.54093838,0.01116355,-0.00645772,-42,0.94
1477454532929950.00,4.55083227,0.01110135,-0.00558505,-42,0.91
1477454533029550.00,4.58038521,0.01096128,-0.00366519,-44,0.86
1477454533135270.00,4.60968304,0.01085222,-0.00471239,-44,1.14
1477454533266080.00,4.63923645,0.01070179,-0.00471239,-40,0.97
